ps_id	mim_id	common_hpo_id	from_root	ic
PS101800	101800	HP_0000248	7	0.46148
PS101800	101800	HP_0000277	7	0.28038
PS101800	101800	HP_0000286	8	0.38749
PS101800	101800	HP_0000303	6	0.47412
PS101800	101800	HP_0000306	5	0.4265
PS101800	101800	HP_0000316	6	0.3103
PS101800	101800	HP_0000327	8	0.52309
PS101800	101800	HP_0000364	4	0.22855
PS101800	101800	HP_0000365	5	0.22922
PS101800	101800	HP_0000422	6	0.29309
PS101800	101800	HP_0000429	7	0.3529
PS101800	101800	HP_0000436	7	0.43011
PS101800	101800	HP_0000455	8	0.54531
PS101800	101800	HP_0000463	7	0.37947
PS101800	101800	HP_0000486	6	0.29986
PS101800	101800	HP_0000492	7	0.25163
PS101800	101800	HP_0000549	5	0.29511
PS101800	101800	HP_0000635	8	0.65416
PS101800	101800	HP_0000648	9	0.36077
PS101800	101800	HP_0000668	10	0.49607
PS101800	101800	HP_0000684	9	0.52309
PS101800	101800	HP_0000689	9	0.51716
PS101800	101800	HP_0000692	8	0.39541
PS101800	101800	HP_0000858	4	0.43103
PS101800	101800	HP_0000925	5	0.22012
PS101800	101800	HP_0000927	4	0.41792
PS101800	101800	HP_0000995	6	0.72955
PS101800	101800	HP_0001000	5	0.38188
PS101800	101800	HP_0001169	6	0.65416
PS101800	101800	HP_0001249	5	0.18714
PS101800	101800	HP_0001530	5	0.83717
PS101800	101800	HP_0001844	6	0.4689
PS101800	101800	HP_0001847	7	0.74193
PS101800	101800	HP_0001964	6	0.54289
PS101800	101800	HP_0002118	6	0.31711
PS101800	101800	HP_0002648	6	0.29956
PS101800	101800	HP_0002650	7	0.27317
PS101800	101800	HP_0002921	5	0.35975
PS101800	101800	HP_0003026	6	0.42128
PS101800	101800	HP_0003042	6	0.5791
PS101800	101800	HP_0003083	7	0.62193
PS101800	101800	HP_0003117	3	0.41227
PS101800	101800	HP_0003165	4	0.71836
PS101800	101800	HP_0003312	7	0.38434
PS101800	101800	HP_0003416	6	0.71836
PS101800	101800	HP_0003498	5	0.46268
PS101800	101800	HP_0003764	6	0.5791
PS101800	101800	HP_0003995	7	0.61732
PS101800	101800	HP_0004279	6	0.53367
PS101800	101800	HP_0004437	5	0.68193
PS101800	101800	HP_0004490	6	0.81097
PS101800	101800	HP_0005105	6	0.29196
PS101800	101800	HP_0005280	7	0.36597
PS101800	101800	HP_0005288	6	0.37537
PS101800	101800	HP_0005616	5	0.58582
PS101800	101800	HP_0005914	6	0.45911
PS101800	101800	HP_0005927	5	0.33446
PS101800	101800	HP_0006292	8	0.47958
PS101800	101800	HP_0008034	7	0.5191
PS101800	101800	HP_0008373	3	0.34072
PS101800	101800	HP_0008417	8	0.69003
PS101800	101800	HP_0008438	8	0.71836
PS101800	101800	HP_0008873	6	0.501
PS101800	101800	HP_0008897	4	0.47148
PS101800	101800	HP_0009767	7	0.41306
PS101800	101800	HP_0009803	8	0.43867
PS101800	101800	HP_0009804	9	0.44269
PS101800	101800	HP_0010049	7	0.47148
PS101800	101800	HP_0010230	7	0.63695
PS101800	101800	HP_0010511	6	0.67435
PS101800	101800	HP_0010579	7	0.59294
PS101800	101800	HP_0010655	4	0.63172
PS101800	101800	HP_0010674	6	0.25866
PS101800	101800	HP_0010743	6	0.561
PS101800	101800	HP_0012759	4	0.13142
PS101800	101800	HP_0012795	8	0.32851
PS101800	101800	HP_0100530	3	0.69874
PS101800	101800	HP_0100744	6	0.57588
PS101800	101800	HP_0100871	5	0.38127
PS101800	101800	HP_0100886	5	0.26821
PS101800	614613	HP_0000028	8	0.33007
PS101800	614613	HP_0000035	7	0.31096
PS101800	614613	HP_0000047	7	0.43196
PS101800	614613	HP_0000272	7	0.40839
PS101800	614613	HP_0000277	7	0.28038
PS101800	614613	HP_0000303	6	0.47412
PS101800	614613	HP_0000306	5	0.4265
PS101800	614613	HP_0000309	5	0.33817
PS101800	614613	HP_0000311	6	0.54289
PS101800	614613	HP_0000422	6	0.29309
PS101800	614613	HP_0000429	7	0.3529
PS101800	614613	HP_0000463	7	0.37947
PS101800	614613	HP_0000635	8	0.65416
PS101800	614613	HP_0000717	6	0.54531
PS101800	614613	HP_0000729	5	0.4639
PS101800	614613	HP_0000750	6	0.34916
PS101800	614613	HP_0000752	5	0.44475
PS101800	614613	HP_0000818	2	0.24181
PS101800	614613	HP_0000819	3	0.43867
PS101800	614613	HP_0000821	5	0.49447
PS101800	614613	HP_0000851	6	0.69874
PS101800	614613	HP_0000925	5	0.22012
PS101800	614613	HP_0000927	4	0.41792
PS101800	614613	HP_0001156	7	0.39678
PS101800	614613	HP_0001249	5	0.18714
PS101800	614613	HP_0001263	6	0.20195
PS101800	614613	HP_0001510	3	0.18842
PS101800	614613	HP_0001511	4	0.38372
PS101800	614613	HP_0001513	5	0.43867
PS101800	614613	HP_0001964	6	0.54289
PS101800	614613	HP_0001999	5	0.27734
PS101800	614613	HP_0002286	8	0.70814
PS101800	614613	HP_0002297	6	0.78955
PS101800	614613	HP_0002516	5	0.78955
PS101800	614613	HP_0003026	6	0.42128
PS101800	614613	HP_0003196	7	0.4329
PS101800	614613	HP_0003416	6	0.71836
PS101800	614613	HP_0003502	6	0.69003
PS101800	614613	HP_0003508	5	0.52108
PS101800	614613	HP_0004324	4	0.42561
PS101800	614613	HP_0005105	6	0.29196
PS101800	614613	HP_0005280	7	0.36597
PS101800	614613	HP_0005288	6	0.37537
PS101800	614613	HP_0005616	5	0.58582
PS101800	614613	HP_0005914	6	0.45911
PS101800	614613	HP_0005930	6	0.41792
PS101800	614613	HP_0008034	7	0.5191
PS101800	614613	HP_0009767	7	0.41306
PS101800	614613	HP_0009803	8	0.43867
PS101800	614613	HP_0009887	5	0.49933
PS101800	614613	HP_0010049	7	0.47148
PS101800	614613	HP_0010579	7	0.59294
PS101800	614613	HP_0010743	6	0.561
PS101800	614613	HP_0011014	4	0.33734
PS101800	614613	HP_0011358	7	0.67435
PS101800	614613	HP_0011800	6	0.42299
PS101800	614613	HP_0011927	6	0.33986
PS101800	614613	HP_0012758	5	0.17112
PS101800	614613	HP_0012759	4	0.13142
PS101800	614613	HP_0100022	4	0.19961
PS101800	614613	HP_0100627	6	0.43196
PS102200	102200	HP_0000280	6	0.45116
PS102200	102200	HP_0000822	5	0.41227
PS102200	102200	HP_0000845	7	0.77145
PS102200	102200	HP_0000858	4	0.43103
PS102200	102200	HP_0001637	5	0.32851
PS102200	102200	HP_0001638	6	0.33046
PS102200	102200	HP_0001712	7	0.53819
PS102200	102200	HP_0001714	6	0.50269
PS102200	102200	HP_0001999	5	0.27734
PS102200	102200	HP_0002893	6	0.72955
PS102200	102200	HP_0006767	7	0.83717
PS102200	102200	HP_0008373	3	0.34072
PS102200	102200	HP_0010514	6	0.62193
PS102200	102200	HP_0030972	4	0.39007
PS102200	102200	HP_0040278	5	0.83717
PS102200	219090	HP_0000140	5	0.43867
PS102200	219090	HP_0000709	5	0.52513
PS102200	219090	HP_0000787	7	0.52513
PS102200	219090	HP_0000822	5	0.41227
PS102200	219090	HP_0000833	6	0.67435
PS102200	219090	HP_0000876	6	0.63695
PS102200	219090	HP_0000939	8	0.44167
PS102200	219090	HP_0000963	7	0.61289
PS102200	219090	HP_0000969	4	0.39887
PS102200	219090	HP_0000978	5	0.49933
PS102200	219090	HP_0000979	5	0.60052
PS102200	219090	HP_0001007	6	0.49134
PS102200	219090	HP_0001065	7	0.71836
PS102200	219090	HP_0001513	5	0.43867
PS102200	219090	HP_0001575	6	0.78955
PS102200	219090	HP_0001933	4	0.46637
PS102200	219090	HP_0001948	4	0.63172
PS102200	219090	HP_0001952	5	0.65416
PS102200	219090	HP_0002808	7	0.35677
PS102200	219090	HP_0002893	6	0.72955
PS102200	219090	HP_0002900	7	0.61289
PS102200	219090	HP_0002953	7	0.66723
PS102200	219090	HP_0003154	5	0.81097
PS102200	219090	HP_0003202	4	0.32139
PS102200	219090	HP_0003312	7	0.38434
PS102200	219090	HP_0003468	6	0.35008
PS102200	219090	HP_0004334	7	0.53148
PS102200	219090	HP_0004349	7	0.36386
PS102200	219090	HP_0004586	8	0.66051
PS102200	219090	HP_0008065	6	0.47018
PS102200	219090	HP_0010674	6	0.25866
PS102200	219090	HP_0010783	5	0.60052
PS102200	219090	HP_0011032	3	0.37652
PS102200	219090	HP_0011042	6	0.55823
PS102200	219090	HP_0011043	4	0.75576
PS102200	219090	HP_0011354	5	0.28323
PS102200	219090	HP_0011362	5	0.34288
PS102200	219090	HP_0012210	6	0.28038
PS102200	219090	HP_0012743	6	0.66051
