mim_id	hpo_id	ic
105400	HP_0002493	0.23605
105400	HP_0003202	0.32139
105400	HP_0003394	0.55553
105400	HP_0003470	0.561
105400	HP_0004305	0.28323
105400	HP_0007024	0.81097
105400	HP_0007354	0.62193
105400	HP_0007373	0.58932
105400	HP_0010535	0.59667
105400	HP_0011804	0.13802
105400	HP_0030236	0.29309
105400	HP_0040290	0.29628
105650	HP_0000002	0.22012
105650	HP_0000174	0.2689
105650	HP_0000175	0.34598
105650	HP_0000177	0.29599
105650	HP_0000202	0.33609
105650	HP_0000204	0.45007
105650	HP_0000218	0.33692
105650	HP_0000252	0.24885
105650	HP_0000270	0.55031
105650	HP_0000277	0.28038
105650	HP_0000278	0.4545
105650	HP_0000316	0.3103
105650	HP_0000347	0.32323
105650	HP_0000457	0.66723
105650	HP_0000464	0.33007
105650	HP_0000465	0.53367
105650	HP_0000470	0.401
105650	HP_0000486	0.29986
105650	HP_0000494	0.3831
105650	HP_0000549	0.29511
105650	HP_0000774	0.52513
105650	HP_0000878	0.69003
105650	HP_0000921	0.63695
105650	HP_0000946	0.5697
105650	HP_0000980	0.69003
105650	HP_0001197	0.34158
105650	HP_0001199	0.64814
105650	HP_0001249	0.18714
105650	HP_0001508	0.28455
105650	HP_0001510	0.18842
105650	HP_0001511	0.38372
105650	HP_0001622	0.55031
105650	HP_0001629	0.38942
105650	HP_0001631	0.39817
105650	HP_0001635	0.44685
105650	HP_0001679	0.45794
105650	HP_0001680	0.55289
105650	HP_0001873	0.40763
105650	HP_0001875	0.49134
105650	HP_0001894	0.69874
105650	HP_0001896	0.71836
105650	HP_0002669	0.74193
105650	HP_0002696	0.68193
105650	HP_0002697	0.74193
105650	HP_0002863	0.66051
105650	HP_0002984	0.61289
105650	HP_0003003	0.69874
105650	HP_0003312	0.38434
105650	HP_0003319	0.38496
105650	HP_0004312	0.57588
105650	HP_0004322	0.22971
105650	HP_0004325	0.25781
105650	HP_0004377	0.4689
105650	HP_0004590	0.83717
105650	HP_0005120	0.39609
105650	HP_0005257	0.4898
105650	HP_0006501	0.55289
105650	HP_0007364	0.22355
105650	HP_0008417	0.69003
105650	HP_0009380	0.5791
105650	HP_0009381	0.4171
105650	HP_0009601	0.501
105650	HP_0009602	0.47546
105650	HP_0009777	0.64814
105650	HP_0009778	0.53819
105650	HP_0009821	0.57275
105650	HP_0009942	0.67435
105650	HP_0009944	0.75576
105650	HP_0010438	0.38685
105650	HP_0010622	0.62673
105650	HP_0011025	0.24293
105650	HP_0011119	0.49607
